"Wasatch Trails Collective would not be what it is without our community made up of diverse backgrounds and experiences. As a running (and many other sports/recreational interests) group, we know how much of a privilege it is to be able to move & recreate freely and without fear. Our community remains dedicated to supporting one another until all the walls from Palestine to Mexico are torn down. Support local & support those who are in solidarty with our community!! ❤️‍🔥",,,,,,,
"Supporting businesses (whether closed for part of or the whole day; offering up space and resources; donating a portion or all of proceeds; showing solidarity, etc.) compiled from Utah Small Business Strike Coalition & social media posts. ",,,,,,,
INTERACTIVE MAP HERE,,,,,,,
Business,Category,Website,Driving,Address,County,Lat,Lon
fulFILLed Lifestyle Co.,Shopping & Retail,https://shop.fulfilledlifestyleco.com/,,"6699 N Landmark Dr G103, Park City, UT 84098",,,
Girls Who Smash,Food / Beverages,https://www.instagram.com/girlswhosmashslc/,,online,,,
Graywhale Entertainment,Shopping & Retail,https://www.graywhaleslc.com/,,"1773 W 4700 S, Taylorsville, UT 84129",,,
Groovy Peach Piercing Co,Body Art,https://groovypeach.com/,,"Styla Salon Studios, 3352 UT-151 SUITE 5, South Jordan, UT 84095",,,
Ground to Earth Coffee & Drink Bar,Food / Beverages,https://www.instagram.com/groundtoearthcoffeeanddrinkbar/,,"11248 S Kestrel Rise Rd #102, South Jordan, UT 84009",,,
Guitar Czar Repair,Repair Shop (Musical Instruments),https://www.guitarczar.com/,,"2212 S W Temple St #8, South Salt Lake, UT 84115",,,
Hallowed Grounds,Food / Beverages,https://www.hallowedgrounds.rip/,,"370 S 300 E, Salt Lake City, UT 84111",,,
HK Brewing Collective,Food / Beverages,https://hkbrewing.com/,,"370 Aspen Ave, Salt Lake City, UT 84101",,,
Java Jo's,Food / Beverages,https://javajos.com/,,"847 E 4500 S, Millcreek, UT 84107",,,
JJ Coffee Co,Food / Beverages,https://jjcoffee.co/,,"330 E 400 S Suite 102, Salt Lake City, UT 84111",,,
"Kahve Cafe",Food / Beverages,https://www.instagram.com/kahvecafeslc/,,"57 S 600 E, Salt Lake City, UT 84102",,,
Ken Sanders Rare Books,Bookstore,https://www.kensandersbooks.com/,,"209 E 500 S, Salt Lake City, UT 84111",,,
Khroma Herbal Apothecary,Shopping & Retail,https://www.khromaherbs.com/,,"2335 Grant Ave, Ogden, UT 84401",,,
Kittens SLC,Nightclub,https://www.instagram.com/kittens_slc/,,online,,,
"La Casa Del Tamal",Food / Beverages,https://www.lacasadeltamalutah.com/,,"2843 S 5600 W, West Valley City, UT 84120",,,
Lagg Bookstore,Bookstore,https://www.instagram.com/laggbookstore/,,"51 E Main St, Lehi, UT 84043",,,
Lavender Vinyl,Shopping & Retail,https://lavendervinyl.com/,,"123 25th St, Ogden, UT 84401",,,
Laziz Kitchen,Food / Beverages,https://lazizkitchen.com/,,"912 S Jefferson St, Salt Lake City, UT 84101",,,
Liberty Heights Fresh,Market,https://libertyheightsfresh.com/,,"1290 1100 E, Salt Lake City, UT 84105",,,
LINGER,Shopping & Retail,https://www.instagram.com/lingerslc/,,"7192 Union Park Ave, Midvale, UT 84047",,,
Lonely Hearts Club Tattoo,Body Art,https://lonelyheartsclub.tattoo/,,"15 E 400 S, Salt Lake City, UT 84111",,,
Lovebound Library,Bookstore,https://loveboundlibraryslc.com/,,"145 E 900 S, Salt Lake City, UT 84111",,,
Lucero Hair & Wellness,Hair & Nails / Salon,https://lucerohairandwellness.com/,,"1095 S State St, Salt Lake City, UT 84111",,,
Luna Coffee & Crystals,Food / Beverages,https://www.lunacoffeeandcrystalsslc.com/,,"25A E Kensington Ave, Salt Lake City, UT 84115",,,
Mara Shop & Studio,Shopping & Retail,https://marashopstudio.com/,,"88 Q St, Salt Lake City, UT 84103",,,
Mazza ,Food / Beverages,https://www.mazzacafe.com/,,"1515 S 1500 E, Salt Lake City, UT 84105",,,
Mecca Bar Co. + Cafe,Food / Beverages,https://www.instagram.com/meccabarco/,,"650 S 500 W, Salt Lake City, UT 84101",,,
Melancholy,Food / Beverages,https://www.melancholyslc.com/,,"556 Gale St, Salt Lake City, UT 84101",,,
Mercy Tattoo,Body Art,https://mercytattooslc.squarespace.com/,,"180 S 200 E, Salt Lake City, UT 84111",,,
Millcreek Mercantile,Shopping & Retail,https://www.millcreek-mercantile.com/,,"881 E 3900 S, Millcreek, UT 84107",,,
Moab Cyclery,Movement & Recreation / Health,https://moabcyclery.com/,,"391 S Main St, Moab, UT 84532",,,
Mochi Play Store by Mochi Kids,Shopping & Retail,https://www.mochikids.com/,,"932 E 900 S Suite A, Salt Lake City, UT 84105",,,
Modern West Fine Art,Art,https://www.modernwestfineart.com/,,"242 E S Temple St, Salt Lake City, UT 84111",,,
Moon Peak Coffeehouse,Food / Beverages,https://www.instagram.com/moonpeakcoffee,,"50 E 500 N #105, Provo, UT 84606",,,
Mother Café & Bar,Food / Beverages,https://houseofmother.co/,,"369 S Main St, Salt Lake City, UT 84111",,,
"MOTHER plants + goods",Floral / Plants,https://www.saltcityplants.com/,,"370 S 300 E Suite 200, Salt Lake City, UT 84111",,,
"Mountain Town Olive Oil",Food / Beverages,https://www.instagram.com/mountaintownoliveoil/,,"613 Main St, Park City, UT 84060",,,
Native Flower Company,Floral / Plants,https://www.nativeflowercompany.com/,,"1448 E 2700 S, Salt Lake City, UT 84106",,,
Naturally NaQuai,Shopping & Retail,https://naturallynaquai.com/,,online,,,
Neighbors Bar,Food / Beverages,https://www.slc-neighbors.com/,,"430 E 900 S, Salt Lake City, UT 84111",,,
normal ice cream,Food / Beverages,https://www.normal.club/,,"1357 E 3300 S, Salt Lake City, UT 84106",,,
NOUVE home goods,Shopping & Retail,https://www.nouve.shop/,,"434 E S Temple St # 2, Salt Lake City, UT 84111",,,
Old Cuss Cafe,Food / Beverages,https://oldcuss.com/,,"325 Pierpont Ave, Salt Lake City, UT 84101",,,
Oliver & Princess Natasha Vintage Shop,Shopping & Retail,https://www.instagram.com/oliverprincessnatashavintage/,,"1531 Major St, Salt Lake City, UT 84115",,,
Passion Flour Patisserie,Food / Beverages,https://www.passionflourslc.com/,,"165 E 900 S, Salt Lake City, UT 84111",,,
Phoenix Vine Plants & Pots,Floral / Plants,https://phoenixvine.com/,,"3540 S Main St, South Salt Lake, UT 84115",,,
Pibs Exchange,Shopping & Retail,https://www.pibsexchange.com/,,"1147 S Ashton Ave, Salt Lake City, UT 84106",,,
Picnic Cafe,Food / Beverages,https://www.picnicslc.com/,,"1329 S 500 E, Salt Lake City, UT 84105",,,
